location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,population
Afghanistan,Asia,155072,3892.816,7200,180.744,39835428
Albania,Europe,168188,58542.243,2653,923.446,2872934
Algeria,Africa,202877,4547.117,5786,129.683,44616626
Andorra,Europe,15189,196357.008,130,1680.585,77354
Angola,Africa,55583,1637.992,1513,44.587,33933611
Anguilla,North America,,,,,15125
Antigua and Barbuda,North America,2923,29606.596,64,648.246,98728
Argentina,South America,5251940,115159.417,114954,2520.599,45605823
Armenia,Asia,259007,87262.746,5264,1773.508,2968128
Aruba,North America,,,,,107195
Australia,Oceania,100911,3913.066,1256,48.704,25788217
Austria,Europe,737202,81521.191,10976,1213.747,9043072
Azerbaijan,Asia,481401,47088.409,6476,633.452,10223344
Bahamas,North America,20775,52341.313,523,1317.666,396914
Bahrain,Asia,274877,157225.754,1389,794.488,1748295
Bangladesh,Asia,1552563,9335.721,27439,164.994,166303494
Barbados,North America,7764,26985.694,68,236.351,287708
Belarus,Europe,532149,56354.601,4102,434.402,9442867
Belgium,Europe,1238358,106458.257,25568,2198.011,11632334
Belize,North America,19945,49257.252,405,1000.21,404915
Benin,Africa,22958,1843.863,154,12.368,12451031
Bermuda,North America,,,,,62092
Bhutan,Asia,2599,3332.479,3,3.847,779900
Bolivia,South America,499202,42187.501,18707,1580.926,11832936
Bonaire,North America,,,,,26445
Bosnia and Herz.,Europe,232237,71162.837,10508,3219.896,3263459
Botswana,Africa,178050,74272.914,2367,987.385,2397240
Brazil,South America,21366395,99846.028,594653,2778.838,213993441
British Virgin Islands,North America,,,,,30423
Brunei,Asia,6700,15174.438,38,86.064,441532
Bulgaria,Europe,495397,71831.489,20638,2992.465,6896655
Burkina Faso,Africa,14183,659.764,181,8.42,21497097
Burundi,Africa,16356,1334.592,38,3.101,12255429
Cambodia,Asia,109926,6486.67,2261,133.42,16946446
Cameroon,Africa,85414,3137.422,1368,50.249,27224262
Canada,North America,1620537,42569.631,27751,728.987,38067913
Cape Verde,Africa,37472,66687.904,336,597.97,561901
Cayman Islands,North America,,,,,66498
Central African Rep.,Africa,11371,2311.185,100,20.325,4919987
Chad,Africa,5034,297.606,174,10.287,16914985
Chile,South America,1652364,86005.25,37445,1949.006,19212362
China,Asia,96148,66.575,4639,3.212,1444216102
Colombia,South America,4952690,96607.993,126178,2461.249,51265841
Comoros,Africa,4128,4646.263,147,165.456,888456
Congo,Africa,14244,2517.935,193,34.117,5657017
Cook Islands,Oceania,,,,,17572
Costa Rica,North America,525999,102353.293,6277,1221.431,5139053
Côte d'Ivoire,Africa,59977,2216.967,607,22.437,27053629
Croatia,Europe,400108,98025.875,8606,2108.457,4081657
Cuba,North America,860799,76059.125,7279,643.163,11317498
Curaçao,North America,,,,,164796
Cyprus,Europe,118181,133085.962,553,622.744,888005
Czechia,Europe,1689620,157546.893,30454,2839.652,10724553
Dem. Rep. Congo,Africa,56862,615.536,1084,11.734,92377986
Denmark,Europe,359062,61765.585,2648,455.507,5813302
Djibouti,Africa,12253,12226.139,162,161.645,1002197
Dominica,North America,3293,45627.113,15,207.837,72172
Dominican Rep.,North America,357517,32638.884,4041,368.916,10953714
Ecuador,South America,508655,28434.79,32747,1830.62,17888474
Egypt,Africa,302327,2899.788,17224,165.205,104258327
El Salvador,North America,104348,16007.977,3197,490.45,6518500
Equatorial Guinea,Africa,11806,8142.681,142,97.938,1449891
Eritrea,Africa,6694,1858.69,42,11.662,3601462
Estonia,Europe,153926,116154.085,1346,1015.705,1325188
Eswatini,Africa,45812,39076.434,1213,1034.657,1172369
Ethiopia,Africa,342305,2903.936,5439,46.142,117876226
Faroe Islands,Europe,,,,,49053
Falkland Is.,South America,,,,,3528
Fiji,Oceania,50807,56270.967,592,655.666,902899
Finland,Europe,139678,25174.642,1069,192.67,5548361
France,Europe,7087110,104894.377,117581,1740.284,67564251
French Polynesia,Oceania,,,,,282534
Gabon,Africa,29515,12951.827,183,80.304,2278829
Gambia,Africa,9930,3992.864,335,134.704,2486937
Georgia,Asia,607155,152560.209,8844,2222.237,3979773
Germany,Europe,4209098,50167.752,93509,1114.523,83900471
Ghana,Africa,127016,4002.757,1150,36.241,31732128
Gibraltar,Europe,,,,,33691
Greece,Europe,648091,62492.22,14727,1420.052,10370747
Greenland,North America,,,,,56868
Grenada,North America,5005,44286.157,130,1150.29,113015
Guatemala,North America,550333,30155.451,13394,733.923,18249868
Guernsey,Europe,,,,,67052
Guinea,Africa,30364,2249.646,378,28.006,13497237
Guinea-Bissau,Africa,6099,3026.063,135,66.981,2015490
Guyana,South America,31236,39522.781,772,976.808,790329
Haiti,North America,21540,1866.279,610,52.852,11541683
Honduras,North America,363106,36083.297,9681,962.04,10062994
Hong Kong,Asia,12196,1614.765,213,28.201,7552800
Hungary,Europe,821261,85244.674,30171,3131.668,9634162
Iceland,Europe,11722,34139.096,33,96.109,343360
India,Asia,33678786,24170.064,447194,320.935,1393409033
Indonesia,Asia,4209403,15231.494,141585,512.318,276361788
Iran,Asia,5547990,65248.394,119649,1407.159,85028760
Iraq,Asia,1996214,48476.092,22142,537.697,41179351
Ireland,Europe,385721,77408.876,5209,1045.374,4982904
Isle of Man,Europe,,,,,85410
Israel,Asia,1270230,144512.215,7684,874.197,8789776
Italy,Europe,4662087,77228.463,130742,2165.769,60367471
Jamaica,North America,83030,27923.68,1841,619.144,2973462
Japan,Asia,1696971,13462.596,17524,139.023,126050796
Jersey,Europe,,,,,101073
Jordan,Asia,820798,79929.52,10697,1041.677,10269022
Kazakhstan,Asia,956025,50330.461,15865,835.222,18994958
Kenya,Africa,248515,4519.629,5109,92.915,54985702
Kiribati,Oceania,2,16.476,,,121388
Kosovo,Europe,159893,82727.21,2939,1520.612,1932774
Kuwait,Asia,411533,95074.035,2447,565.316,4328553
Kyrgyzstan,Asia,178317,26902.182,2602,392.556,6628347
Laos,Asia,22441,3041.05,16,2.168,7379358
Latvia,Europe,155076,83064.533,2689,1440.329,1866934
Lebanon,Asia,622440,91952.447,8296,1225.56,6769151
Lesotho,Africa,14395,6667.232,403,186.655,2159067
Liberia,Africa,5915,1141.846,283,54.631,5180208
Libya,Africa,337890,48557.614,4617,663.501,6958538
Liechtenstein,Europe,3445,90055.942,60,1568.463,38254
Lithuania,Europe,326654,121438.944,4930,1832.808,2689862
Luxembourg,Europe,77930,122760.368,835,1315.346,634814
Macao,Asia,,,,,658391
Madagascar,Africa,42898,1509.041,958,33.7,28427333
Malawi,Africa,61517,3131.006,2278,115.942,19647681
Malaysia,Asia,2209194,67402.394,25695,783.953,32776195
Maldives,Asia,84484,155410.029,231,424.929,543620
Mali,Africa,15165,727.139,547,26.228,20855724
Malta,Europe,37103,72105.705,457,888.131,514564
Marshall Islands,Oceania,4,67.094,,,59618
Mauritania,Africa,35889,7515.848,772,161.672,4775110
Mauritius,Africa,15391,12086.274,79,62.037,1273428
Mexico,North America,3635807,27911.447,275676,2116.316,130262220
Micronesia,Oceania,1,8.602,,,116255
Moldova,Europe,290043,72077.833,6713,1668.23,4024025
Monaco,Europe,3303,83577.935,33,835.02,39520
Mongolia,Asia,298919,89784.824,1242,373.053,3329282
Montenegro,Europe,129990,206973.637,1906,3034.785,628051
Montserrat,North America,,,,,4981
Morocco,Africa,929699,24895.014,14199,380.214,37344787
Mozambique,Africa,150540,4680.527,1910,59.385,32163045
Myanmar,Asia,459436,8382.949,17583,320.822,54806014
Namibia,Africa,127373,49229.248,3494,1350.42,2587344
Nauru,Oceania,,,,,10873
Nepal,Asia,792367,26701.572,11103,374.154,29674920
Netherlands,Europe,2035980,118556.388,18566,1081.11,17173094
New Caledonia,Oceania,,,,,288217
New Zealand,Oceania,4205,865.112,27,5.555,4860642
Nicaragua,North America,13730,2048.526,203,30.288,6702379
Niger,Africa,5990,238.353,201,7.998,25130810
Nigeria,Africa,204752,968.549,2690,12.725,211400704
Niue,Oceania,,,,,1614
North Macedonia,Europe,189999,91228.961,6607,3172.384,2082661
Northern Cyprus,Asia,,,,,
Norway,Europe,187593,34322.308,850,155.517,5465629
Oman,Asia,303673,58137.304,4095,783.976,5223376
Pakistan,Asia,1241825,5514.322,27638,122.727,225199929
Palau,Oceania,5,275.118,,,18174
Palestine,Asia,398946,76386.107,4046,774.687,5222756
Panama,North America,466357,106435.733,7216,1646.893,4381583
Papua New Guinea,Oceania,19523,2140.913,227,24.893,9119005
Paraguay,South America,459828,63691.256,16189,2242.355,7219641
Peru,South America,2173354,65149.644,199314,5974.745,33359415
Philippines,Asia,2490858,22430.683,37405,336.84,111046910
Pitcairn,Oceania,,,,,47
Poland,Europe,2903655,76822.367,75572,1999.418,37797000
Portugal,Europe,1067175,104955.063,17955,1765.847,10167923
Qatar,Asia,236388,80664.072,605,206.448,2930524
Romania,Europe,1199761,62723.51,36450,1905.606,19127772
Russia,Europe,7334843,50268.942,201015,1377.645,145912022
Rwanda,Africa,96982,7304.777,1258,94.754,13276517
Saint Helena,Africa,,,,,6095
Saint Kitts and Nevis,North America,1872,34960.595,11,205.431,53546
Saint Lucia,North America,11231,60905.31,186,1008.671,184401
Saint Vincent and the Grenadines,North America,3359,30188.103,18,161.77,111269
Samoa,Oceania,3,14.989,,,200144
San Marino,Europe,5428,159600.118,91,2675.684,34010
Sao Tome and Principe,Africa,3349,14993.464,49,219.373,223364
Saudi Arabia,Asia,546985,15477.489,8704,246.288,35340680
Senegal,Africa,73747,4288.537,1855,107.872,17196308
Serbia,Europe,917802,134879.72,8097,1189.931,6804596
Seychelles,Africa,21374,216095.44,110,1112.122,98910
Sierra Leone,Africa,6393,785.251,121,14.862,8141343
Singapore,Asia,89539,15184.636,80,13.567,5896684
Sint Maarten,North America,,,,,43421
Slovakia,Europe,408609,74826.864,12596,2306.653,5460726
Slovenia,Europe,289955,139487.079,4544,2185.957,2078723
Solomon Islands,Oceania,20,28.409,,,703995
Somalia,Africa,19980,1221.309,1111,67.912,16359500
South Africa,Africa,2897521,48258.239,87216,1452.583,60041996
South Korea,Asia,305842,5961.23,2464,48.026,51305184
S. Sudan,Africa,11954,1050.312,128,11.246,11381377
Spain,Europe,4951640,105928.284,86298,1846.136,46745211
Sri Lanka,Asia,514592,23937.511,12731,592.214,21497306
Sudan,Africa,38201,850.625,2900,64.575,44909351
Suriname,South America,40476,68394.959,861,1454.888,591798
Sweden,Europe,1149407,113128.84,14821,1458.737,10160159
Switzerland,Europe,836483,95976.545,11060,1269.004,8715494
Syria,Asia,33323,1823.35,2215,121.199,18275704
Taiwan,Asia,16198,679.019,842,35.297,23855008
Tajikistan,Asia,17484,1793.3,125,12.821,9749625
Tanzania,Africa,1367,22.228,50,0.813,61498438
Thailand,Asia,1571926,22471.866,16369,234.007,69950844
Timor-Leste,Asia,19398,14434.378,113,84.085,1343875
Togo,Africa,25252,2978.448,227,26.774,8478242
Tokelau,Oceania,,,,,1368
Tonga,Oceania,,,,,106759
Trinidad and Tobago,North America,50055,35667.612,1464,1043.2,1403374
Tunisia,Africa,705474,59105.894,24794,2077.286,11935764
Turkey,Asia,7066658,83095.375,63372,745.178,85042736
Turkmenistan,Asia,,,,,6117933
Turks and Caicos Islands,North America,,,,,39226
Tuvalu,Oceania,,,,,11925
Uganda,Africa,123245,2615.36,3146,66.761,47123533
Ukraine,Europe,2503710,57600.484,59384,1366.191,43466822
United Arab Emirates,Asia,735180,73583.615,2094,209.587,9991083
United Kingdom,Europe,7737941,113447.712,136569,2002.269,68207114
United States of America,North America,43116432,129511.805,690426,2073.88,332915074
Uruguay,South America,388572,111493.559,6053,1736.797,3485152
Uzbekistan,Asia,172493,5082.927,1225,36.098,33935765
Vanuatu,Oceania,4,12.72,1,3.18,314464
Vatican,Europe,27,33251.232,,,812
Venezuela,South America,363300,12656.355,4412,153.702,28704947
Vietnam,Asia,766051,7803.404,18758,191.079,98168829
Wallis and Futuna,Oceania,,,,,11094
Yemen,Asia,8988,294.779,1703,55.853,30490639
Zambia,Africa,208867,11039.099,3647,192.752,18920657
Zimbabwe,Africa,129919,8608.371,4607,305.258,15092171
